date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2024-04-01,29.8,30.0,29.42,29.67,624945.81,1856919.377,29.838,29.363333333333333,1,1,,,立讯精密,002475.SZ
2024-04-02,29.67,29.75,28.39,28.64,1006559.75,2896339.356,29.375999999999998,29.373333333333335,1,1,,,立讯精密,002475.SZ
2024-04-03,28.65,29.22,28.45,28.76,688257.83,1984368.703,29.246,29.407333333333334,-1,0,,28.76,立讯精密,002475.SZ
2024-04-08,28.58,28.6,27.8,28.04,798311.66,2246027.916,28.904000000000003,29.43933333333333,-1,0,,,立讯精密,002475.SZ
2024-04-09,28.1,28.56,27.97,28.45,446406.75,1262310.289,28.712,29.484666666666666,-1,0,,,立讯精密,002475.SZ
2024-04-10,28.37,28.38,27.45,27.69,613419.63,1702273.476,28.316000000000003,29.461333333333336,-1,0,,,立讯精密,002475.SZ
2024-04-11,27.45,28.18,27.4,27.63,485402.25,1349239.803,28.113999999999997,29.339333333333336,-1,0,,,立讯精密,002475.SZ
2024-04-12,27.82,28.5,27.7,27.82,620058.88,1744261.717,27.926,29.217333333333332,-1,0,,,立讯精密,002475.SZ
2024-04-15,27.83,28.08,27.51,27.8,574029.17,1596636.434,27.878000000000004,29.08866666666667,-1,0,,,立讯精密,002475.SZ
2024-04-16,27.55,27.68,26.71,26.85,795445.84,2154982.859,27.558,28.755999999999997,-1,0,,,立讯精密,002475.SZ
2024-04-17,26.97,27.36,26.85,27.28,635635.27,1724587.974,27.476,28.543333333333337,-1,0,,,立讯精密,002475.SZ
2024-04-18,27.08,27.36,26.53,27.05,700812.2,1888643.493,27.360000000000003,28.283333333333335,-1,0,,,立讯精密,002475.SZ
2024-04-19,26.8,26.82,26.1,26.39,669952.87,1770229.115,27.074,28.082,-1,0,,,立讯精密,002475.SZ
2024-04-22,26.1,27.36,25.92,27.25,737068.38,1979564.502,26.964,27.915333333333333,-1,0,,,立讯精密,002475.SZ
2024-04-23,27.02,27.79,27.02,27.59,604693.34,1661766.671,27.112000000000002,27.794,-1,0,,,立讯精密,002475.SZ
2024-04-24,27.69,28.06,27.2,27.67,784690.21,2166209.97,27.189999999999998,27.660666666666668,-1,0,,,立讯精密,002475.SZ
2024-04-25,28.14,29.22,28.14,28.54,1231136.98,3532718.835,27.488,27.654,-1,0,,,立讯精密,002475.SZ
2024-04-26,28.54,29.09,28.4,28.79,830634.5,2386161.535,27.968,27.656,1,1,28.79,,立讯精密,002475.SZ
2024-04-29,29.21,30.16,29.05,29.83,1210446.32,3595607.198,28.483999999999998,27.775333333333332,1,1,,,立讯精密,002475.SZ
2024-04-30,29.76,29.95,29.14,29.2,637599.96,1877974.569,28.806,27.825333333333333,1,1,,,立讯精密,002475.SZ
2024-05-06,30.3,31.17,30.3,30.99,1415806.71,4362093.786,29.47,28.04533333333333,1,1,,,立讯精密,002475.SZ
2024-05-07,30.69,31.26,30.56,30.86,581367.77,1797858.075,29.933999999999997,28.260666666666665,1,1,,,立讯精密,002475.SZ
2024-05-08,30.5,30.5,29.58,29.6,795330.24,2372896.262,30.095999999999997,28.37933333333333,1,1,,,立讯精密,002475.SZ
2024-05-09,29.61,30.2,29.61,29.82,494089.9,1476124.916,30.094,28.514,1,1,,,立讯精密,002475.SZ
2024-05-10,29.85,29.96,29.17,29.5,514899.26,1515276.8,30.154000000000003,28.69066666666667,1,1,,,立讯精密,002475.SZ
2024-05-13,29.39,30.95,29.3,30.58,873209.75,2657530.498,30.071999999999996,28.910666666666664,1,1,,,立讯精密,002475.SZ
2024-05-14,31.95,32.2,31.01,31.08,1074025.19,3383702.906,30.115999999999996,29.179333333333332,1,1,,,立讯精密,002475.SZ
2024-05-15,31.0,31.29,30.6,30.66,419071.08,1293998.461,30.327999999999996,29.464,1,1,,,立讯精密,002475.SZ
2024-05-16,31.2,32.05,30.96,31.76,1017640.44,3222156.377,30.715999999999998,29.764666666666663,1,1,,,立讯精密,002475.SZ
2024-05-17,31.54,31.95,31.4,31.64,525858.66,1665148.626,31.144,30.034666666666666,1,1,,,立讯精密,002475.SZ
2024-05-20,31.42,32.0,31.31,31.62,475298.36,1502283.358,31.351999999999997,30.298,1,1,,,立讯精密,002475.SZ
2024-05-21,31.5,32.29,31.34,31.87,578895.21,1850377.742,31.51,30.519999999999996,1,1,,,立讯精密,002475.SZ
2024-05-22,31.8,33.0,31.7,32.86,842652.86,2748987.218,31.95,30.791333333333334,1,1,,,立讯精密,002475.SZ
2024-05-23,32.6,32.95,32.21,32.51,495720.96,1612873.1,32.1,30.970000000000002,1,1,,,立讯精密,002475.SZ
2024-05-24,32.36,32.85,31.4,31.51,810326.7,2589338.578,32.074,31.124,1,1,,,立讯精密,002475.SZ
2024-05-27,31.81,32.43,31.48,31.89,557845.71,1773904.806,32.128,31.184000000000005,1,1,,,立讯精密,002475.SZ
2024-05-28,31.75,31.76,31.0,31.11,616102.49,1926962.938,31.976,31.200666666666667,1,1,,,立讯精密,002475.SZ
2024-05-29,31.27,31.49,30.79,31.18,431613.49,1342584.228,31.639999999999997,31.305999999999997,1,1,,,立讯精密,002475.SZ
2024-05-30,31.02,32.75,30.83,32.26,772733.19,2487336.94,31.589999999999996,31.468666666666664,1,1,,,立讯精密,002475.SZ
2024-05-31,32.2,32.74,31.7,31.79,566361.32,1821116.748,31.645999999999997,31.621333333333332,1,1,,,立讯精密,002475.SZ
2024-06-03,31.64,33.1,31.61,32.51,829834.4,2699177.158,31.77,31.75,1,1,,,立讯精密,002475.SZ
2024-06-04,32.4,32.85,32.15,32.73,484441.11,1575657.99,32.094,31.860000000000003,1,1,,,立讯精密,002475.SZ
